"","Drug","Dose","TW","Risk.assessment","Thigmotaxis","Freezing","Erratic","Crossings"
"76","FGIN-1-27","0.14",45.02631,5.035515,8.695222,13.5556,8.284621,16.60204
"77","FGIN-1-27","0.14",34.95527,6.477688,9.508996,8.922279,6.172968,15.62505
"78","FGIN-1-27","0.14",35.1272,6.902822,8.836041,9.848941,9.404243,18.43656
"79","FGIN-1-27","0.14",44.88828,5.81784,12.23251,11.37745,12.63856,16.27911
"80","FGIN-1-27","0.28",37.17019,4.935434,8.272662,8.533692,9.937748,19.02784
"81","FGIN-1-27","0.28",40.10251,4.942525,10.62641,10.32514,9.078944,15.58364
"82","FGIN-1-27","0.28",35.57177,4.823544,8.625833,5.668332,9.28699,19.75676
"83","FGIN-1-27","0.28",43.02203,5.593347,5.610945,9.703637,6.576047,19.76897
"84","FGIN-1-27","0.28",32.59254,4.308685,9.473852,7.010648,8.669394,18.04924
"85","FGIN-1-27","0.28",41.42942,7.311818,8.816628,8.406137,11.75221,18.33202
"86","FGIN-1-27","0.28",39.20575,5.613482,6.102747,7.474692,11.38025,19.50311
"87","FGIN-1-27","0.28",44.23336,6.381069,8.99873,8.045309,9.561935,17.16155
"88","FGIN-1-27","0.28",38.28223,5.301109,7.255772,6.347812,7.475386,18.21912
"89","FGIN-1-27","0.28",45.67062,4.847457,7.205933,6.959813,12.80393,16.60245
"90","FGIN-1-27","0.57",50.30515,3.373919,9.033467,8.043814,8.229271,21.58682
"91","FGIN-1-27","0.57",40.01644,3.826572,6.22506,6.563192,7.112339,17.67986
"92","FGIN-1-27","0.57",55.57068,4.154538,7.13735,8.410917,5.020169,25.10892
"93","FGIN-1-27","0.57",47.17768,4.04069,7.101583,10.60515,7.781949,23.2826
"94","FGIN-1-27","0.57",35.35333,4.209266,9.37202,8.858267,5.468382,17.1495
"95","FGIN-1-27","0.57",44.50632,3.632963,8.647064,6.604819,4.237509,22.43861
"96","FGIN-1-27","0.57",31.0728,3.862125,8.312884,8.788127,6.661019,19.01296
"97","FGIN-1-27","0.57",45.27444,4.914135,9.090887,8.41914,6.675835,24.56531
"98","FGIN-1-27","0.57",42.91468,4.294376,8.828747,8.842577,6.553394,23.47491
"99","FGIN-1-27","0.57",47.1626,5.003705,6.865439,8.392169,6.605548,23.03894
"100","FGIN-1-27","1.1",51.36243,1.689014,7.391991,6.443985,5.201783,17.23278
"101","FGIN-1-27","1.1",46.18357,1.701977,6.33812,8.394172,4.478299,16.41773
"102","FGIN-1-27","1.1",44.99472,1.949583,7.916315,8.66779,4.811357,17.17342
"103","FGIN-1-27","1.1",45.41869,2.141688,8.12853,4.816917,5.742306,18.34306
"104","FGIN-1-27","1.1",50.61484,2.168342,5.465373,8.74076,5.441874,17.09553
"105","FGIN-1-27","1.1",37.85341,1.950412,9.451262,7.12588,5.313549,16.85782
"106","FGIN-1-27","1.1",54.50027,2.009919,7.371997,5.821401,3.693824,15.46191
"107","FGIN-1-27","1.1",39.52406,1.877653,8.072739,5.376261,5.057471,14.57962
"108","FGIN-1-27","1.1",44.3036,1.745309,8.479797,8.290981,6.123119,17.02023
"109","FGIN-1-27","1.1",50.00529,2.453017,7.000046,7.24141,5.011747,16.9848
"110","FGIN-1-27","2.3",41.56213,0.2061721,2.878731,8.794909,1.918136,7.044334
"111","FGIN-1-27","2.3",39.7266,0.2378243,3.517695,10.28634,2.180056,7.867642
"112","FGIN-1-27","2.3",43.57045,0.1461171,2.624362,8.711714,2.035135,7.807258
"113","FGIN-1-27","2.3",29.8954,0.2112883,2.834133,9.377833,1.899497,8.275547
"114","FGIN-1-27","2.3",35.49729,0.2241597,2.776215,7.900127,1.396521,6.126228
"115","FGIN-1-27","2.3",41.55745,0.1677985,3.132337,10.48683,2.291148,5.583401
"116","FGIN-1-27","2.3",37.69097,0.2127566,3.713364,10.21124,2.048747,7.243905
"117","FGIN-1-27","2.3",30.25406,0.1901705,3.252778,7.747731,1.087317,6.934883
"118","FGIN-1-27","2.3",32.78878,0.2032999,3.152419,9.893817,1.897669,6.559011
"119","FGIN-1-27","2.3",39.65506,0.2069103,3.008068,4.59053,2.11139,6.701266
