"","Dose","Drug","TI.Dur","Circling","Ventilatory","TF","Thigmotaxis","Locomotor","Freezing"
"63","0","Diazepam",1.61621,49.36145,98.05989,5.285625,4.109903,19.83477,50.2121
"64","0","Diazepam",1.407964,44.88615,103.8595,4.923976,4.299643,15.78902,50.56585
"65","0","Diazepam",1.323053,52.88107,113.5739,3.939552,5.381025,21.87865,57.45121
"66","0","Diazepam",1.808137,42.00453,87.66998,4.569206,5.559019,19.95143,51.91749
"67","0","Diazepam",1.378494,48.79045,115.7743,4.959479,4.943525,20.09835,56.20188
"68","0","Diazepam",1.456944,54.21208,108.8819,5.009683,5.0274,23.59143,59.80284
"69","0","Diazepam",1.451306,54.88006,95.8194,6.029961,4.740754,20.15494,63.47276
"70","0","Diazepam",1.588945,52.87514,98.01931,5.234596,5.751122,18.75605,76.69089
"71","0.14","Diazepam",1.515368,66.38363,119.423,4.936941,5.473978,24.01666,38.53556
"72","0.14","Diazepam",1.217389,56.06763,100.3176,4.845875,5.124874,22.3781,42.83576
"73","0.14","Diazepam",1.083643,52.38108,98.91876,5.830737,5.348337,24.82143,48.60825
"74","0.14","Diazepam",1.37546,49.87196,104.4155,4.926634,5.448561,20.46073,37.78094
"75","0.14","Diazepam",0.994247,59.21997,103.2453,5.080694,5.066782,23.33939,55.67997
"76","0.14","Diazepam",1.196801,70.1885,93.77649,4.866989,5.306363,22.76396,60.72228
"77","0.14","Diazepam",1.530615,55.59582,97.513,4.980032,6.210066,24.40308,48.17986
"78","0.14","Diazepam",1.31477,59.40756,98.70148,5.12514,6.170471,23.5088,52.92292
"79","0.14","Diazepam",1.563689,61.72604,90.15581,4.886115,3.408103,21.69077,51.15452
"80","0.14","Diazepam",1.154073,56.80708,114.3811,4.045911,4.622023,22.12697,44.30402
"81","0.28","Diazepam",1.248256,47.16585,107.1655,6.195066,5.040507,22.59971,52.42816
"82","0.28","Diazepam",1.160398,53.20403,109.9855,7.430517,7.218455,17.83248,61.97547
"83","0.28","Diazepam",1.183628,60.47128,124.8865,6.180582,6.025026,18.54237,49.44666
"84","0.28","Diazepam",1.398442,41.8126,120.5007,7.103791,6.266066,19.92015,53.32804
"85","0.28","Diazepam",1.103571,48.58098,125.6505,5.051197,5.634274,19.03838,44.4323
"86","0.28","Diazepam",1.246689,52.66745,122.6862,5.708926,6.547616,21.55325,57.309
"87","0.28","Diazepam",1.28029,54.52853,111.3791,6.611449,6.432396,21.52042,52.766
"88","0.28","Diazepam",1.306853,48.69446,98.44588,6.189653,6.988178,18.19172,66.532
"89","0.28","Diazepam",1.288494,44.28357,110.9692,7.056845,5.972435,20.51739,59.8616
"90","0.28","Diazepam",1.337667,49.24899,106.3217,5.906647,5.983739,19.57169,56.46089
"91","0.57","Diazepam",1.047886,58.4893,83.83863,7.250251,8.202662,25.82304,40.6809
"92","0.57","Diazepam",1.114604,60.37661,102.6051,7.028635,7.05726,29.17661,52.08316
"93","0.57","Diazepam",0.780128,59.44485,100.8095,8.41003,6.735671,22.39249,50.36158
"94","0.57","Diazepam",1.085145,65.76221,104.34,6.608755,6.09606,23.68184,43.60296
"95","0.57","Diazepam",1.003621,69.72295,80.50395,8.032125,7.064837,24.31801,45.89185
"96","0.57","Diazepam",0.8803419,54.07697,112.0244,6.887319,7.39503,25.90686,58.73253
"97","0.57","Diazepam",0.9873802,63.01527,107.6144,6.622241,4.840872,21.19949,54.71535
"98","0.57","Diazepam",0.8488299,55.23737,104.3132,7.812737,6.79216,23.42225,54.59072
"99","0.57","Diazepam",1.055805,68.7005,96.99383,8.071009,6.892121,23.85846,44.51837
"100","0.57","Diazepam",1.053455,64.56482,91.80894,8.200418,5.870995,24.0762,42.30486
"101","1.1","Diazepam",1.782537,36.44468,75.5173,22.78377,21.633,21.80155,36.25677
"102","1.1","Diazepam",1.553215,45.7923,88.81379,23.93351,18.35953,20.77416,31.04456
"103","1.1","Diazepam",1.66189,37.97343,92.22736,24.92408,21.44875,18.42466,30.37858
"104","1.1","Diazepam",1.992492,43.5787,80.72278,24.76581,21.53562,13.68434,35.08988
"105","1.1","Diazepam",1.739891,46.77853,91.53227,23.69415,22.71006,23.36282,35.19257
"106","1.1","Diazepam",1.512716,41.54585,85.28096,22.89951,25.71842,17.50736,38.26776
"107","1.1","Diazepam",1.673271,49.01548,90.46734,19.29571,19.93479,18.12692,44.20814
"108","1.1","Diazepam",1.698461,35.1361,76.73826,25.72303,24.74142,18.78637,31.75787
"109","1.1","Diazepam",1.906866,44.53221,80.00033,28.122,19.91536,17.60328,43.80328
"110","1.1","Diazepam",1.688695,29.32587,81.6069,20.5922,23.41747,18.29049,34.86943
"111","2.3","Diazepam",1.375281,53.15591,102.5885,29.29187,45.03053,23.67051,49.41807
"112","2.3","Diazepam",1.285222,58.18459,128.9785,32.58149,29.8324,19.88288,63.92706
"113","2.3","Diazepam",1.665105,49.69323,121.1093,29.20418,32.74366,24.75551,47.99852
"114","2.3","Diazepam",1.604422,59.63213,97.03745,31.83802,35.13878,25.41533,60.74892
"115","2.3","Diazepam",1.693085,57.09806,125.7981,30.47081,33.47306,26.27317,44.6134
"116","2.3","Diazepam",1.920358,57.51389,97.78386,28.6276,34.07483,30.39618,78.5638
"117","2.3","Diazepam",1.635225,57.08148,109.0027,26.71641,36.07198,25.20476,67.09157
"118","2.3","Diazepam",1.70067,61.04047,110.532,25.48634,38.24655,23.72969,59.07492
"119","2.3","Diazepam",1.573435,48.38391,107.535,30.80818,32.18222,23.91298,49.80471
"120","2.3","Diazepam",1.603793,57.19525,93.19302,28.60639,32.28114,24.09138,42.18942
